Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Number of Builds,Bugs per Build
UI,Bug: Tutorial coins,Show that you receive the coins/ indicator of the amount of coins you have,Nothing to show anywhere in the menu other that the tutorial says you have completed it,No,No,1,4 in 03/18/2024
game play,"While playing, it would be much smoother if I could drag and drop cards into attack or defend positions.",it only works by clicking on the card,I was hoping to be able to move the card when I click and move the mouse,no,no,1,2 in 03/19/2024
setting,The X button doesn't work to exit the settings page; you either have to save or cancel.,get out of settings page,did not do anyting,no,no,1,2 in 03/19/2024
game,playing tutorial,when playing the tutorial the AI should act like a normal player,"during the AI's 4th turn, it does nothing and just waits out the timer of its turn",no,no,1,2 in 03/06/2024
Login/UI/Game/Main Page/Settings,"bug: When heading over to the settings page and clicking to adjust the volumes, it stays the same. User case: volume should change as it's increased or decreasd but it doesn't",The volume should go up or down based on what you toggle it to,volume stays the same,no,no,1,2 in 03/19/2024
Login/UI/Game/Main Page/Settings,"bug: When trying to change the language, it changes the language but some of the display buttons aren't changed such as arena, adventures, tutorials, nft shops, settings. user case: When language is changed, it does not change everything on the main page.",the sidebar and menu options should change when the language is changed,"Only some of the options are changed, and not all",no,no,1,2 in 03/19/2024
Game,Hired cards not show sometimes,Clicking “Hire” for a card places it on the battlefield,Hiring Fire Croc twice does not place the second Croc on field,no,no,1,2 in 03/19/2024
UI,"bug: deck builder-> ""how to obtain"", ""related cards"" the buttons to work correctly",,the buttons does not work,no,no,1,2 in 03/19/2024
login,bug: metamask button does not work,take me to some portal,does not take me anymore,no,no,1,2 in 03/19/2024
Arena,Game glicthed out,The game is run till one of the plays are defeated or surrender,"The game glitches and crashed, returning user to login page",no,no,1,2 in 03/17/2024
Tutorial,Skipped turn without giving opportunity for game actions,After enemy's turn ends to take control of game,Timer ticked down without givien opportunityi to play cards,No,No,1,2 in 03/19/2024
Game,When logining back into the game it appears that my previous deck doesn't get automatically selected,I expect my previous deck to be selected if it is the only one made,It doesn't save my selected deck,No,no,1,2 in 03/18/2024
Game,Bug: Activating card does not work,Void trap should apply damage,Action was chosen but no card effect occurs,no,no,1,2 in 03/19/2024
Game,Playing a regular arena,Be able to use my cards in arena,There was an instance where my card would finally be able to activate when it was the opponents turn but wouldn't work regardless in both ends.,no,no,1,2 in 03/18/2024
Login,Login,Load into the game after authenticating,"Stuck on Autherntication , had to reload the website and relogin",No,No,1,2 in 03/12/2024
Main page,takes too long to load in to main page,open endersgate.app and load in,"open enders game app and load in, but took almost 1 minute",no,no,1,2 in 03/17/2024
Game,"user case:After selecting sign-in with email and being placed in the queue for 20 minutes and exiting the application, stuck on ""Authenticating please wait"" screen",To be placed into another queue or game,"frozen on ""authenticating please wait"" screen for 30 minutes, still no activity",no,no,1,2 in 03/17/2024
Log-in page,"Game stuck on ""login with email"" and not letting me click anything.",To let me log-in.,"Stuck on ""login with email""",No,No,1,2 in 03/13/2024
In game,Game froze few times mid game.,To continue with game.,Game froze.,No,No,1,2 in 03/13/2024
Adventure menu,Not letting me use my energy to start adventure mode (1-2).,To let me play adventure.,Button to play not working,No,No,1,2 in 03/13/2024
Game,Computer player froze during turn until their time when up.,The computer player should have placed cards or ended turn .,After ending my turn the ciomputer made no moves until the end of the turn.,no,no,1,2 in 03/17/2024
UI,Played the Area Match up Skip my turn and went with AI,My Turn for match up,Skiped and allowed AI to go twice,No,No,1,2 in 03/17/2024
Login,Seond Tutorial Lags and fails to mark complete,Finshed Tutorial,Marked Complete,No,NO,1,2 in 03/17/2024
UI,The Profile Icon half of the tabs do not response,All Tabs to be clickable,tab do not respond,No,no,1,2 in 03/17/2024
Authication,Authication Lag,authentication success and login,Authication took very long then usual,No,No,1,2 in 03/17/2024
Game,Bug: Main Phse #2 skips and goes to opponent,I should have been able to be on my turn for this phase,The game skipped and went to the opponents side so I was not able to utilize my turn,no,no,1,2 in 03/17/2024
